id,type,name,creator,starring,year,rating,time,genres
80046309,Movie,Everest,,"Jason Clarke, Jake Gyllenhaal, Josh Brolin",2015,TV-PG,121 min,"Drama Movies ,Movies Based on Real Life ,Action & Adventure Movies"
81460361,Movie,The Last Kingdom: Seven Kings Must Die,,"Alexander Dreymon, Harry Gilby, Mark Rowley",2023,TV-MA,111 min,"Drama Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies"
81054619,Movie,True Spirit,,"Teagan Croft, Cliff Curtis, Anna Paquin",2023,TV-Y7,109 min,"Family Movies ,Kids & Family Movies ,Drama Movies ,Movies Based on Books ,Movies Based on Real Life ,Action & Adventure Movies ,Teen Movies"
81115160,Movie,Against The Ice,,"Nikolaj Coster-Waldau, Joe Cole, Heida Reed",2022,TV-PG,103 min,"Drama Movies ,Movies Based on Books ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies"
81277950,Movie,Enola Holmes,,"Millie Bobby Brown, Henry Cavill, Sam Claflin",2020,TV-PG,124 min,"Family Movies ,Drama Movies ,Mystery Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies "
81406219,Movie,Enola Holmes 2,,"Millie Bobby Brown, Henry Cavill, David Thewlis",2022,TV-14,130 min,"Drama Movies ,Mystery Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies ,Social Issue Dramas "
81716244,Movie,Face Off 3: Imperfect Trio,,"Pornnappan Pornpenpipat, Kieu Minh Tuan, Huy Khanh",2018,TV-PG,102 min,"Comedy Movies ,Action & Adventure Movies"
81616947,Movie,Land Of Spirits: The Blind Shaman,,"Huynh Lap, Dai Nghia, Viet Huong",2019,TV-PG,120 min,"Comedy Movies ,Horror Movies ,Action & Adventure Movies"
70299203,Movie,Sword of the Assassin,,"Huynh Dong, Midu, Khuong Ngoc",2012,TV-14,103 min,"Drama Movies ,Martial Arts Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies"
81336431,Movie,The Pirates: The Last Royal Treasure,,"Kang Ha-neul, Han Hyo-joo, Lee Kwang-soo",2022,TV-14,127 min,"Comedy Movies ,Action & Adventure Movies"
81220405,Movie,Trang Quynh,,"Quoc Anh, Nha Phuong, Tran Thanh",2019,TV-PG,93 min,"Comedy Movies ,Action & Adventure Movies"
81632944,Movie,Satria Dewa: Gatotkaca,,"Rizky Nazar, Yasmin Napper, Yayan Ruhian",2022,TV-PG,129 min,"Drama Movies ,Action & Adventure Movies"
81497215,Movie,Minnal Murali,,"Tovino Thomas, Guru Somasundaram, Aju Varghese",2021,TV-PG,159 min,"Drama Movies ,Comedy Movies ,Action & Adventure Movies"
81335928,Movie,Super Me,,"Darren Wang, Song Jia, Cao Bingkun",2021,TV-14,103 min,"Drama Movies ,Action & Adventure Movies "
80097424,Movie,The Space Between Us,,"Gary Oldman, Asa Butterfield, Carla Gugino",2016,TV-PG,120 min,"Sci-Fi Movies ,Romantic Movies ,Action & Adventure Movies "
81367829,Movie,Dream Journey 3: The Land of Many Perfumes,,"Zhang Tianqi, Fan Rui, Xu Minghu",2017,TV-14,99 min,"Comedy Movies ,Movies Based on Books ,Action & Adventure Movies "
81418617,Movie,Happiness for Beginners,,"Ellie Kemper, Luke Grimes, Nico Santos",2023,TV-14,103 min,"Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Movies Based on Books ,Action & Adventure Movies "
81500432,Movie,Mr. Car and the Knights Templar,,"Mateusz Janicki, Sandra Drzymalska, Maria Dębska",2023,TV-PG,110 min,"Family Movies ,Movies Based on Books ,Action & Adventure Movies"
81001281,Movie,Bill & Ted Face the Music,,"Keanu Reeves, Alex Winter, Kristen Schaal",2020,TV-PG,91 min,"Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies "
80077238,Movie,Ben-Hur,,"Jack Huston, Morgan Freeman, Rodrigo Santoro",2016,TV-14,123 min,"Drama Movies ,Movies Based on Books ,Action & Adventure Movies "
80091936,Movie,Okja,,"Tilda Swinton, Jake Gyllenhaal, An Seo-hyun",2017,TV-14,121 min,"Drama Movies ,Comedy Movies ,Action & Adventure Movies ,Social Issue Dramas "
81439550,Movie,The Summit of the Gods,,"Lazare Herson-Macarel, Éric Herson-Macarel, Damien Boisseau",2021,TV-PG,95 min,"Adult Animation ,Drama Movies ,Movies Based on Books ,Action & Adventure Movies"
80104130,Movie,Jagga Jasoos,,"Ranbir Kapoor, Katrina Kaif, Saurabh Shukla",2017,TV-PG,155 min,"Bollywood Movies ,Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies"
81193796,Movie,Indoo Ki Jawani,,"Kiara Advani, Aditya Seal, Mallika Dua",2020,TV-PG,114 min,"Bollywood Movies ,Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies"
80194671,Movie,The Climb,,"Ahmed Sylla, Alice Belaïdi, Kevin Razy",2017,TV-PG,105 min,"Romantic Comedy Movies ,Drama Movies ,Comedy Movies ,Romantic Movies ,Movies Based on Books ,Movies Based on Real Life ,Action & Adventure Movies"
80162197,Movie,Offline – Das Leben ist kein Bonuslevel,,"Moritz Jahn, Mala Emde, Ugur Ekeroglu",2016,TV-PG,88 min,"Comedy Movies ,Action & Adventure Movies"
81602987,Movie,Super Senior Heroes,,"Bhagyaraj, Ambika, Manobala",2020,TV-PG,139 min,"Drama Movies ,Comedy Movies ,Action & Adventure Movies "
81597206,Movie,Ben & Jody,,"Chicco Jerikho, Rio Dewanto, Hana Malasan",2022,TV-MA,113 min,"Drama Movies ,Movies Based on Books ,Action & Adventure Movies"
80103475,Movie,Nerve,,"Emma Roberts, Dave Franco, Juliette Lewis",2016,TV-PG,96 min,"Crime Movies ,Thriller Movies ,Movies Based on Books ,Action & Adventure Movies "
81319137,TV Show,Ranveer vs Wild with Bear Grylls,,"Ranveer Singh, Bear Grylls",2022,TV-14,1h 10m,"Reality TV ,Action & Adventure Movies"
81424365,Movie,The Knight and the Princess,,"Medhat Saleh, Mohamed Henedi, Donia Samir Ghanim",2019,TV-PG,96 min,"Adult Animation ,Middle Eastern Movies ,Action & Adventure Movies ,Musicals"
81696792,Movie,Bear Man,,"Park Sung-woong, Choi Min-soo, Oh Dal-soo",2023,TV-MA,97 min,"Comedy Movies ,Action & Adventure Movies"
81689962,Movie,Marry My Dead Body,,"Greg Hsu, Austin Lin, Gingle Wang",2023,TV-MA,129 min,"LGBTQ+ Movies ,Drama Movies ,Comedy Movies ,Action & Adventure Movies "
81591199,Movie,Extremely Easy Job,,"Hua Vi Van, Tien Luat, Thu Trang",2022,TV-14,117 min,"Comedy Movies ,Action & Adventure Movies"
81168885,Movie,Extreme Job,,"Ryu Seung-ryong, Lee Hanee, Jin Sun-kyu",2019,TV-14,111 min,"Comedy Movies ,Action & Adventure Movies"
81464329,Movie,Zom 100: Bucket List of the Dead,,"Eiji Akaso, Mai Shiraishi, Shuntaro Yanagi",2023,TV-MA,129 min,"Comedy Movies ,Horror Movies ,Action & Adventure Movies"
81241364,Movie,The Hitman's Wife's Bodyguard,,"Ryan Reynolds, Samuel L. Jackson, Salma Hayek",2021,TV-MA,99 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies "
81511779,Movie,Bullet Train,,"Brad Pitt, Joey King, Aaron Taylor-Johnson",2022,TV-MA,126 min,"Crime Movies ,Comedy Movies ,Movies Based on Books ,Action & Adventure Movies "
70208247,Movie,21 Jump Street,,"Jonah Hill, Channing Tatum, Brie Larson",2012,TV-MA,109 min,"Comedy Movies ,Action & Adventure Movies "
81238548,Movie,"Masculine Old Man, Beauty and Gangsters",,"Hoai Linh, Toc Tien, Thuong Tin",2015,TV-14,91 min,"Comedy Movies ,Action & Adventure Movies"
81507232,Movie,THE FABLE: The Killer Who Doesn't Kill,,"Junichi Okada, Fumino Kimura, Shinichi Tsutsumi",2021,TV-14,131 min,"Comedy Movies ,Action & Adventure Movies"
80119311,Movie,The Hitman’s Bodyguard,,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman",2017,TV-MA,113 min,"Comedy Movies ,Action & Adventure Movies "
80232655,Movie,Shaft,,"Samuel L. Jackson, Jessie T. Usher, Regina Hall",2019,TV-MA,111 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies "
81186234,Movie,The Out-Laws,,"Adam Devine, Pierce Brosnan, Ellen Barkin",2023,TV-MA,97 min,"Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies "
81670615,Movie,"Bua Pun, Beauty and the Blade",,"Anne Thongprasom, Kanawut Traipipattanapong, Apaporn Nakornsawan",2022,TV-MA,110 min,"Comedy Movies ,Action & Adventure Movies"
80142090,Movie,Baby Driver,,"Ansel Elgort, Kevin Spacey, Lily James",2017,TV-MA,113 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies "
81186049,Movie,Day Shift,,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo",2022,TV-MA,113 min,"Comedy Movies ,Horror Movies ,Action & Adventure Movies "
70285697,Movie,Blind Detective,,"Andy Lau, Sammi Cheng, Gao Yuanyuan",2013,TV-14,129 min,"Comedy Movies ,Action & Adventure Movies "
81588091,Movie,Spy Kids: Armageddon,,"Gina Rodriguez, Zachary Levi, Connor Esterson",2023,TV-Y,97 min,"Family Movies ,Kids & Family Movies ,Comedy Movies ,Spy Movies "
80237245,Movie,The Monkey King,,"Jimmy O. Yang, Bowen Yang, Jolie Hoang-Rappaport",2023,TV-Y,96 min,"Family Movies ,Kids & Family Movies ,Comedy Movies ,Movies Based on Books "
81247686,Movie,Face Off,,"Ly Hai, Truong Giang, Vo Thanh Tam",2015,TV-PG,94 min,"Comedy Movies ,Action & Adventure Movies"
